Bird,ORICOLL,AGECOLL,MTHCOLL,AGECURR,scapsH,scapsS,scapsB,breastH,breastS,breastB,crownH,crownS,crownB
226,arquata,1y,aug,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,arquata,1y,jul,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,arquata,ad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,arquata,1y,jul,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,arquata,ad,feb,1933,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,arquata,1y,NA,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,arquata,1y,jul,1886,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,arquata,1y,aug,1843,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,arquata,1y,aug,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,arquata,ad,jul,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,arquata,1y,aug,1966,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,arquata,1y,jun,1876,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,arquata,ad,jan,1881,30.35858824,57.87686275,12.91882353,31.16894118,59.07215686,24.40235294,NA,NA,NA
239,arquata,ad,jun,1939,34.54305882,57.18588235,8.576078431,30.15247059,59.48509804,19.95215686,NA,NA,NA
240,arquata,ad,may,1898,28.01788235,58.15647059,16.37843137,30.75529412,59.02431373,33.65882353,NA,NA,NA
241,arquata,ad,oct,1906,32.02447059,59.40745098,12.77333333,29.93788235,63.8054902,19.44862745,NA,NA,NA
242,arquata,ad,may,1898,28.16611765,59.81294118,15.54901961,29.20235294,58.87294118,26.36784314,NA,NA,NA
243,arquata,1y,aug,1943,38.13035294,57.89254902,8.245490196,NA,NA,NA,31.88188235,57.80509804,9.089803922
244,arquata,ad,nov,1881,32.47623529,58.71647059,9.602745098,30.14258824,64.52745098,21.51176471,27.95576471,63.73137255,14.21215686
245,arquata,ad,jan,1949,33.71011765,58.60117647,11.05843137,29.63011765,61.01058824,24.38980392,NA,NA,NA
246,arquata,ad,dec,1902,32.00329412,59.86470588,11.57803922,31.488,59.30392157,32.73098039,27.73835294,56.21333333,24.22862745
247,arquata,ad,mar,1925,38.50305882,57.25019608,10.98901961,30.55905882,56.06980392,27.09176471,28.58964706,55.4345098,18.69058824
248,arquata,ad,mar,1916,31.296,58.55372549,9.614117647,29.30541176,59.50117647,24.55490196,27.59717647,55.66,13.58117647
249,arquata,ad,mar,1909,33.48141176,55.0254902,11.24980392,29.92376471,55.57764706,28.80901961,NA,NA,NA
250,arquata,ad,dec,1915,30.65082353,57.39607843,11.90627451,30.48141176,56.64666667,30.07686275,28.90729412,56.12156863,13.70823529
251,arquata,ad,nov,1915,30.81176471,58.4772549,11.71215686,30.26541176,56.9772549,28.91176471,28.25929412,59.94823529,17.49411765
252,arquata,ad,aug,1918,31.36941176,57.02313725,9.257254902,28.40611765,53.81098039,26.48078431,29.11623529,52.66470588,14.99803922
253,arquata,ad,mar,1916,32.47058824,54.82313725,11.69372549,29.13317647,58.25647059,22.77058824,27.41788235,55.22941176,14.68627451
254,arquata,ad,dec,1965,30.63811765,56.4054902,11.38392157,29.62305882,59.16980392,29.64,28.37223529,59.13882353,18.10862745
255,arquata,1y,aug,1912,29.04847059,59.98627451,12.30313725,31.37505882,58.4254902,26.23215686,27.6,56.50235294,14.07607843
256,arquata,ad,mar,1916,34.2,57.53019608,9.942352941,29.27152941,57.28352941,27.20588235,29.52,53.61960784,11.68392157
257,arquata,ad,dec,1913,32.87152941,59.48078431,10.15882353,29.84329412,57.38588235,26.73372549,27.90070588,57.04117647,19.65960784
258,arquata,ad,nov,1915,28.512,60.8854902,13.39019608,28.85788235,54.52901961,30.26313725,26.89411765,56.36509804,19.12784314
259,arquata,1y,jul,1916,31.28894118,59.69607843,10.97921569,29.86023529,56.96470588,31.24862745,28.06447059,57.88705882,16.69294118
260,arquata,ad,oct,1913,31.19011765,57.44039216,12.60470588,29.79952941,57.91411765,28.56627451,30.62682353,53.95843137,16.55254902
261,arquata,1y,aug,1913,30.93317647,58.43921569,8.503529412,31.07717647,57.12078431,24.74078431,27.624,56.81176471,7.673333333
262,arquata,1y,aug,1913,29.54258824,57.8372549,11.93176471,NA,NA,NA,27.00141176,55.93803922,11.92666667
263,arquata,ad,dec,1913,37.54729412,56.85372549,10.90431373,29.87152941,60.00666667,28.1654902,28.70258824,54.63098039,17.89294118
264,arquata,1y,sep,1872,32.41835294,57.38039216,8.135294118,30.73552941,65.69058824,23.15686275,28.68423529,59.06313725,12.17607843
265,arquata,ad,jan,1923,30.89788235,57.03411765,9.941568627,29.71482353,59.67333333,23.22705882,27.144,54.71686275,15.07215686
266,arquata,1y,aug,1870,34.08282353,54.56509804,8.008627451,31.42870588,56.06313725,26.22627451,28.94117647,50.2627451,14.3972549
267,arquata,ad,jan,1931,38.50305882,53.51019608,9.620784314,31.64470588,62.18627451,18.91294118,NA,NA,NA
268,arquata,1y,jun,1882,38.53694118,57.53215686,7.88627451,29.40564706,61.35529412,30.25960784,30.20047059,59.95490196,10.68784314
269,arquata,ad,sep,1870,30.97552941,60.79882353,12.62196078,31.248,58.98705882,33.21058824,NA,NA,NA
270,arquata,ad,oct,1909,37.91717647,55.47568627,9.102352941,31.248,58.98705882,33.21058824,29.70211765,55.99176471,13.41686275
271,arquata,1y,sep,1907,31.11670588,55.76745098,10.47019608,30.02258824,55.11607843,23.13568627,29.47058824,58.80431373,8.130196078
272,arquata,1y,sep,1919,33.16517647,55.21372549,7.650980392,30.01270588,62.96156863,24.24470588,32.36047059,54.79607843,6.858823529
273,arquata,ad,feb,1893,33.30352941,55.9145098,10.90235294,28.88470588,60.92431373,28.05764706,29.80941176,58.24745098,9.432941176
274,arquata,ad,dec,1896,31.95388235,57.28588235,12.55176471,30.27952941,59.44156863,24.45019608,28.43011765,58.92588235,12.81568627
275,arquata,1y,aug,1911,41.256,57.03098039,7.033333333,27.96141176,63.7654902,23.2227451,29.592,60.52352941,9.901960784
276,arquata,ad,dec,1910,33.57741176,55.32862745,9.725098039,30.18917647,55.00823529,26.07843137,28.08564706,56.40666667,13.01254902
277,arquata,ad,jan,1900,29.65270588,59.44156863,14.37764706,29.61176471,60.67686275,29.51921569,NA,NA,NA
278,arquata,1y,jul,1947,NA,NA,NA,NA,NA,NA,29.50164706,60.46352941,12.94117647
279,arquata,ad,jan,1890,NA,NA,NA,27.57176471,56.51058824,27.41490196,NA,NA,NA
280,arquata,1y,aug,1897,31.64188235,59.19960784,7.655686275,31.28752941,57.47882353,27.38588235,NA,NA,NA
281,arquata,1y,aug,1912,32.83058824,55.78196078,10.40666667,28.05458824,55.21294118,20.14470588,30.85270588,50.31215686,13.94352941
282,arquata,ad,dec,1910,30.10305882,55.21137255,13.5027451,29.85458824,57.21294118,26.43058824,31.27623529,56.77254902,11.27411765
283,arquata,ad,may,1919,30.85976471,56.02039216,12.59843137,30.40094118,55.7772549,26.89372549,31.69129412,56.95098039,9.226666667
284,arquata,ad,dec,1884,30.87247059,58.96509804,9.609019608,31.20423529,59.85058824,27.90745098,27.26964706,60.39921569,16.5372549
285,arquata,ad,sep,1906,34.85929412,53.39607843,10.30431373,28.83247059,56.71843137,31.73882353,28.59388235,51.59843137,15.90156863
286,arquata,ad,feb,1897,32.94211765,57.82156863,10.03921569,29.53835294,58.60705882,26.98078431,NA,NA,NA
287,arquata,1y,sep,1922,28.97505882,56.67333333,12.91294118,30.17364706,58.10823529,25.66784314,27.69176471,55.64313725,16.27294118
